Output File                                                    Name                                 Type        FSH File                                             Lines
Bundle-BundleFTExample.json                                    BundleFTExample                      Instance    exampels\cz-ft-order-bundle.fsh                      164 - 210
Bundle-BundleKOrderExample.json                                BundleKOrderExample                  Instance    exampels\cz-k-order-bandle.fsh                       111 - 157
CodeSystem-ft-vzp-procedures-cs.json                           FTVzpProceduresCS                    CodeSystem  code-systems\FTVzpProceduresCS.fsh                   1 - 17
CodeSystem-korder-type-cs.json                                 KOrderTypeCS                         CodeSystem  code-systems\KOrderTypeCS.fsh                        1 - 26
CodeSystem-korder-vzp-procedures-cs.json                       KOrderVzpProceduresCS                CodeSystem  code-systems\KOrderVzpProceduresCS.fsh               1 - 15
CodeSystem-mkn10-5-cs.json                                     Mkn10ExternalCS                      CodeSystem  code-systems\Mkn10ExternalCS.fsh                     1 - 15
CodeSystem-vzp-nahrady.json                                    VzpNahradyCS                         CodeSystem  code-systems\KOrderReplacmentSC.fsh                  1 - 16
Composition-FTCompositionExample.json                          FTCompositionExample                 Instance    exampels\cz-ft-order-bundle.fsh                      7 - 33
Composition-KOrderCompositionExample.json                      KOrderCompositionExample             Instance    exampels\cz-k-order-bandle.fsh                       2 - 28
ConceptMap-AttachmentKOrder2FHIR-cz.json                       AttachmentKOrder2FHIR-cz             Instance    maps\Attachment.fsh                                  1 - 61
ConceptMap-KOrderBody2FHIRcz-cz.json                           KOrderBody2FHIRcz-cz                 Instance    maps\Body.fsh                                        1 - 163
ConceptMap-KOrderHeader2FHIRcz-cz.json                         KOrderHeader2FHIRcz-cz               Instance    maps\Header.fsh                                      1 - 193
ConceptMap-LabOrderHeader2FHIRcz-cz.json                       LabOrderHeader2FHIRcz-cz             Instance    maps\HeaderKOrder2FHIR.fsh                           1 - 409
Condition-KOrderCondition-Main.json                            KOrderCondition-Main                 Instance    exampels\cz-k-order-bandle.fsh                       33 - 39
Condition-KOrderCondition-Secondary.json                       KOrderCondition-Secondary            Instance    exampels\cz-k-order-bandle.fsh                       41 - 47
Coverage-KOrderCoverage-Example.json                           KOrderCoverage-Example               Instance    exampels\cz-k-order-bandle.fsh                       90 - 98
DocumentReference-KOrderAttachment-1.json                      KOrderAttachment-1                   Instance    exampels\cz-k-order-bandle.fsh                       101 - 108
Organization-a4641bd0-34af-4038-a7db-872d08a54df9.json         Organization-L1-HOSP                 Instance    exampels\cz-k-order-bandle.fsh                       250 - 267
Organization-ace081ba-e0a8-4b89-a4a7-c5b7cd3c8169.json         Organization-1                       Instance    exampels\cz-k-order-bandle.fsh                       217 - 228
Organization-af2b3114-e872-43b9-9875-cceb39122f7f.json         Organization-L1-Odd                  Instance    exampels\cz-k-order-bandle.fsh                       231 - 248
Patient-48a9d440-4194-42c1-87ad-b5a39020a4d0.json              Patient-Novak-Petr                   Instance    exampels\cz-k-order-bandle.fsh                       160 - 188
Practitioner-a81e74c9-fe94-4eb1-9233-4c8f0b2d4e3a.json         Practitioner-Author                  Instance    exampels\cz-k-order-bandle.fsh                       207 - 215
PractitionerRole-2b7e9637-5018-4542-9faf-d5abdee7b849.json     Practitioner-Author-detail           Instance    exampels\cz-k-order-bandle.fsh                       193 - 205
ServiceRequest-0a6f4d9a-9e7e-4c23-95d3-2f7f7b5b3d55.json       FTServiceRequest-21415               Instance    exampels\cz-ft-order-bundle.fsh                      103 - 128
ServiceRequest-2b7a3e62-3a40-4c65-9c1d-0e4b7b9c2e91.json       FTServiceRequest-21225               Instance    exampels\cz-ft-order-bundle.fsh                      74 - 99
ServiceRequest-KOrderServiceRequest-1.json                     KOrderServiceRequest-1               Instance    exampels\cz-k-order-bandle.fsh                       51 - 68
